Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Report.Status
1982-01-04,SAINT CROIX,,Fatal(1),Destroyed,Airplane,Cessna,206,No,1.0,Reciprocating,Business,1.0,0.0,1.0,0.0,VMC,Taxi,Probable Cause
1982-02-04,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Substantial,Helicopter,Bell,206L-1,No,1.0,Turbo Shaft,Executive/corporate,0.0,0.0,0.0,1.0,VMC,Takeoff,Probable Cause
1982-02-15,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Approach,Probable Cause
1982-02-23,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,Destroyed,Airplane,Cessna,210,No,1.0,Reciprocating,Personal,0.0,2.0,0.0,0.0,VMC,Cruise,Probable Cause
1982-03-02,HIGH ISLAND BLK,HIGH ISLAND,Fatal(2),Destroyed,Helicopter,Bell,206B,No,1.0,Turbo Shaft,Unknown,2.0,0.0,0.0,0.0,VMC,Approach,Probable Cause
1982-03-02,HUMA CAO,,Fatal(1),Destroyed,Airplane,Cessna,150,No,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Descent,Probable Cause
1982-03-02,MUSTANG BLK A11,,Non-Fatal,,Helicopter,Bell,12,No,2.0,Turbo Shaft,Unknown,0.0,1.0,0.0,5.0,VMC,Standing,Probable Cause
1982-03-31,MOCA,,Non-Fatal,Substantial,Airplane,Piper,PA-32R,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,1.0,UNK,Landing,Probable Cause
1982-04-13,WEST DELTA 105D,,Non-Fatal,Destroyed,Helicopter,Bell,206B,No,1.0,Turbo Shaft,Ferry,0.0,0.0,1.0,0.0,VMC,Takeoff,Probable Cause
1982-05-29,ATLANTIC OCEAN,ATLANTIC OCEAN,Non-Fatal,,Airplane,Douglas,DC8-52,No,4.0,Turbo Fan,Unknown,0.0,1.0,1.0,109.0,VMC,Cruise,Probable Cause
1982-05-29,HIGH ISLAND 389,HIGH ISLAND,Non-Fatal,Destroyed,Helicopter,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,4.0,VMC,Landing,Probable Cause
1982-06-02,WEST CAMERON #4,,Non-Fatal,Substantial,Helicopter,Bell,206B-III,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,1.0,VMC,Landing,Probable Cause
1982-06-03,ARECIBO,Puerto Rico,Non-Fatal,Substantial,Airplane,Cessna,182K,No,1.0,Reciprocating,Business,0.0,0.0,0.0,1.0,VMC,Descent,Probable Cause
1982-07-19,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Substantial,Helicopter,Aerospatiale,AS-350D,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1982-08-06,"ANDROS IS, Bahamas",Bahamas,Non-Fatal,Destroyed,,Beech,65,No,2.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause
1982-08-23,CHARLOTTE AMALI,,Non-Fatal,Substantial,Airplane,Douglas,C-47,No,2.0,Reciprocating,Unknown,0.0,0.0,0.0,4.0,VMC,Taxi,Probable Cause
1982-09-25,GULF OF MEXICO,GULF OF MEXICO,Non-Fatal,Substantial,Helicopter,Bell,206L-1,No,1.0,Turbo Shaft,Business,0.0,0.0,3.0,0.0,VMC,Landing,Probable Cause
1982-09-28,MISSING ACFT,MISSING,Fatal(2),Substantial,Airplane,Beech,H35,No,1.0,Reciprocating,Personal,2.0,0.0,0.0,0.0,UNK,Unknown,Probable Cause
1982-10-01,"NEAR GREAT INAG, Bahamas",Bahamas,Non-Fatal,Destroyed,Airplane,Beech,B24R,No,1.0,Reciprocating,Personal,0.0,1.0,0.0,0.0,VMC,Cruise,Probable Cause
1982-10-12,NEAR ST. CROIX,,Fatal(2),Destroyed,Airplane,Piper,PA-32-300,No,1.0,Reciprocating,Business,2.0,0.0,0.0,0.0,VMC,Unknown,Probable Cause
1982-10-18,GULF OF MEXICO,GULF OF MEXICO,Fatal(3),Destroyed,Helicopter,Bell,206B,Yes,1.0,Turbo Shaft,Unknown,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1982-10-18,GULF OF MEXICO,GULF OF MEXICO,Fatal(3),Destroyed,Helicopter,Bell,206B,Yes,1.0,Turbo Shaft,Unknown,3.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1982-10-20,MISSING ACFT,MISSING,Fatal(8),Destroyed,Airplane,Piper,PA-31,No,2.0,Reciprocating,Unknown,8.0,0.0,0.0,0.0,UNK,Unknown,Probable Cause
1982-11-05,"MISSING ACFT, Bahamas",Bahamas,Fatal(3),Destroyed,,Beech,65-B80,No,2.0,Reciprocating,Personal,3.0,0.0,0.0,0.0,UNK,Unknown,Probable Cause
1982-11-14,"NR.CHUBEAY, Bahamas",Bahamas,Non-Fatal,Destroyed,Airplane,Gulfstream American,AA5A,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1982-11-20,"35 NM W. ANDROS, BAHAMAS",Bahamas,Non-Fatal,Substantial,Airplane,Cessna,337,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,VMC,Landing,Probable Cause
1982-11-22,BUCCANEER OIL F,,Fatal(1),Substantial,Helicopter,Bell,206B,No,1.0,Turbo Shaft,Unknown,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
1982-12-03,GULF OF MEXICO,GULF OF MEXICO,Fatal(2),Destroyed,,Bell,206L1,No,1.0,Turbo Shaft,Unknown,2.0,0.0,0.0,2.0,VMC,Approach,Probable Cause
1982-12-17,NEAR RAMEY,,Non-Fatal,Destroyed,Airplane,Cessna,172,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,3.0,VMC,Cruise,Probable Cause
1983-01-11,CULEBRA,,Non-Fatal,Destroyed,,Piper,PA-32-260,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Cruise,Probable Cause
1983-01-27,GRAND ISLE B43Q,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,0.0,2.0,2.0,VMC,Takeoff,Probable Cause
1983-02-03,PATILLAS,,Fatal(1),Destroyed,,Bensen,B8M,Yes,1.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
1983-02-11,SAN JUAN,Puerto Rico,Fatal(1),Destroyed,,Piper,PA-23-250,No,2.0,Reciprocating,Business,1.0,0.0,0.0,0.0,VMC,Takeoff,Probable Cause
1983-03-01,E. CAMERON,,Incident,Minor,,Aerospatiale,AS-350D,No,1.0,Turbo Shaft,Unknown,0.0,0.0,0.0,4.0,VMC,Approach,Probable Cause
1983-03-01,SHIPSHOAL 295,,Non-Fatal,Substantial,,Bell,206L-1,No,1.0,Turbo Shaft,Unknown,0.0,1.0,1.0,1.0,VMC,Landing,Probable Cause
1983-03-02,SAN JUAN,Puerto Rico,Non-Fatal,Substantial,,Cessna,150,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Cruise,Probable Cause
1983-03-16,LAJAS,,Non-Fatal,Destroyed,,Cessna,T210,No,1.0,Reciprocating,Unknown,0.0,1.0,0.0,0.0,UNK,Landing,Probable Cause
1983-03-23,HIGH ISLAND,HIGH ISLAND,Non-Fatal,Substantial,,Beech,200,No,2.0,Turbo Prop,Executive/corporate,0.0,0.0,0.0,8.0,VMC,Descent,Probable Cause
1983-04-10,GULF OF MEXICO,GULF OF MEXICO,Fatal(1),Destroyed,,Cessna,310R,No,2.0,Reciprocating,Personal,1.0,0.0,0.0,0.0,VMC,Cruise,Probable Cause
